NroReg,FECHA,CENTRO,Estrato,OFERTA_ID,FACTURA,GRUPO_CATEG,PLU_SAP,CANTIDAD,VENTA,DESCUENTO,GRUCOM,VENTA_NETA,OFERTA_ID_NUM,PROMO_FLAG,PRECIO_UNITARIO_NETO
948,2026-01-01,1,4,0,99,1,100,0.485,13220,0.0,1,13220.0,0,0,27257.731958762888
971,2026-01-01,1,4,0,101,1,102,0.149,6200,0.0,1,6200.0,0,0,41610.73825503356
992,2026-01-01,1,4,0,69,1,85,0.454,4990,0.0,1,4990.0,0,0,10991.189427312775
1021,2026-01-01,1,4,0,103,1,104,1.628,25990,0.0,1,25990.0,0,0,15964.373464373466
1024,2026-01-01,1,4,241825,105,1,98,0.79,4041,449.0,1,3592.0,241825,1,4546.835443037974
1038,2026-01-01,1,4,0,106,1,107,0.723,14900,0.0,1,14900.0,0,0,20608.575380359613
1039,2026-01-01,1,4,0,96,1,108,0.588,22040,0.0,1,22040.0,0,0,37482.99319727891
1047,2026-01-01,1,4,0,38,1,109,0.512,11990,0.0,1,11990.0,0,0,23417.96875
1076,2026-01-01,1,4,0,110,1,111,1.134,21600,0.0,1,21600.0,0,0,19047.61904761905
1107,2026-01-01,1,4,0,112,1,83,0.304,5600,0.0,1,5600.0,0,0,18421.052631578947
1108,2026-01-01,1,4,0,113,1,81,0.977,10170,0.0,1,10170.0,0,0,10409.416581371546
1109,2026-01-01,1,4,0,114,1,13,0.321,1200,0.0,1,1200.0,0,0,3738.3177570093458
1164,2026-01-01,1,4,0,115,1,116,0.32,10990,0.0,1,10990.0,0,0,34343.75
1167,2026-01-01,1,4,0,117,1,118,2.428,10100,0.0,1,10100.0,0,0,4159.802306425041
1196,2026-01-01,1,4,0,119,1,120,0.512,11990,0.0,1,11990.0,0,0,23417.96875
1205,2026-01-01,1,4,0,121,1,122,0.767,7930,0.0,1,7930.0,0,0,10338.983050847457
1239,2026-01-01,1,4,0,123,1,124,0.788,8250,0.0,1,8250.0,0,0,10469.543147208122
1240,2026-01-01,1,4,251106,125,1,126,1.166,7551,839.0,1,6712.0,251106,1,5756.432246998285
1266,2026-01-01,1,4,0,127,1,128,0.289,16900,0.0,1,16900.0,0,0,58477.508650519034
1276,2026-01-01,1,4,0,129,1,130,0.778,27990,0.0,1,27990.0,0,0,35976.863753213365
1305,2026-01-01,1,4,0,131,1,132,0.909,22600,0.0,1,22600.0,0,0,24862.48624862486
1316,2026-01-01,1,4,0,46,1,133,0.676,14900,0.0,1,14900.0,0,0,22041.420118343194
1334,2026-01-01,1,4,0,134,1,135,0.854,29700,0.0,1,29700.0,0,0,34777.51756440281
1339,2026-01-01,1,4,0,136,1,137,0.227,56400,0.0,1,56400.0,0,0,248458.1497797357
1363,2026-01-01,1,4,0,138,1,139,1.976,9800,0.0,1,9800.0,0,0,4959.514170040486
