NroReg,FECHA,CENTRO,Estrato,OFERTA_ID,FACTURA,GRUPO_CATEG,PLU_SAP,CANTIDAD,VENTA,DESCUENTO,GRUCOM
1766,46023,1,4,0,136,1,165,"0,167",16120,"0,00",1
1770,46023,1,4,0,134,1,166,"0,863",29700,"0,00",1
1777,46023,1,4,0,167,1,168,"0,277",21490,"0,00",1
1785,46023,1,4,0,113,1,169,"0,162",3450,"0,00",1
1812,46023,1,4,0,96,1,170,"0,894",24520,"0,00",1
1838,46023,1,4,0,63,1,171,"0,125",10600,"0,00",1
1851,46023,1,4,0,79,1,172,"0,496",12050,"0,00",1
1873,46023,1,4,0,161,1,173,"1,058",15500,"0,00",1
1875,46023,1,4,0,30,1,174,"0,42",12300,"0,00",1
1892,46023,1,4,0,4,1,175,"0,45",37600,"0,00",1
1962,46023,1,4,0,176,1,139,"0,988",4900,"0,00",1
1963,46023,1,4,0,8,1,177,"0,418",5890,"0,00",1
1964,46023,1,4,0,178,1,179,"0,365",22990,"0,00",1
1968,46023,1,4,0,180,1,181,"0,455",25250,"0,00",1
1985,46023,1,4,0,182,1,174,"0,42",12300,"0,00",1
2013,46023,1,4,0,16,1,183,"0,275",13710,"0,00",1
2029,46023,1,4,0,2,1,184,"0,513",10950,"0,00",1
2040,46023,1,4,0,185,1,186,"0,148",4300,"0,00",1
2057,46023,1,4,0,187,1,188,"2,956",19250,"0,00",1
2067,46023,1,4,260055,105,1,189,"0,991",14990,"5190,00",1
2075,46023,1,4,0,129,1,190,"0,389",29900,"0,00",1
2082,46023,1,4,0,38,1,191,"0,441",31450,"0,00",1
2087,46023,1,4,251106,72,1,192,"0,624",22005,"2445,00",1
2114,46023,1,4,0,193,1,194,"1,943",12600,"0,00",1
2115,46023,1,4,0,96,1,177,"0,418",5890,"0,00",1
2143,46023,1,4,0,195,1,186,"0,148",4300,"0,00",1
2183,46023,1,4,0,158,1,196,"0,318",21990,"0,00",1
2230,46023,1,4,0,197,1,198,"0,152",4450,"0,00",1
2240,46023,1,4,0,79,1,139,"0,988",4900,"0,00",1
2255,46023,1,4,0,77,1,199,"0,818",7300,"0,00",1
2271,46023,1,4,0,20,1,200,"0,61",51240,"0,00",1
2274,46023,1,4,0,193,1,201,"2,256",8500,"0,00",1
2292,46023,1,4,0,105,1,139,"0,988",4900,"0,00",1
2299,46023,1,4,0,61,1,202,"0,507",10500,"0,00",1
2311,46023,1,4,0,203,1,90,"0,468",10990,"0,00",1
